english,tag,definition
Autoharp,noun,a musical instrument like a small harp that has buttons that you press in order to play chords
B-list,adjective,"used to describe the group of people who are considered to be fairly famous, successful or important, but not as much as the A-list people"
B-movie,noun,a film that is made cheaply and is not considered to be of high quality
B-picture,noun,a film that is made cheaply and is not considered to be of high quality
B-road,noun,a road that is less important than an A-road and usually joins small towns and villages
B-side,noun,the side of a pop record that was considered less likely to be successful
BAME,abbreviation,"black, Asian and minority ethnic (used in the UK to refer to people who are not white)"
BASIC,noun,"a simple language, using familiar English words, for writing computer programs"
BDD,abbreviation,body dysmorphic disorder (a mental illness that causes somebody to worry a lot about problems with their appearance which may not exist or which others may not notice)
BFF,abbreviation,"(especially in text messages, on social media, etc.) best friend (forever)"
BIOS,abbreviation,Basic Input-Output System (a set of basic instructions in a computer that controls how it begins to work when you first switch it on)
BLM,abbreviation,Black Lives Matter (= a group formed to campaign against racism and violence against black people)
BME,abbreviation,black and minority ethnic (used in the UK to refer to people who are not white)
BMOC,abbreviation,Big Man on Campus
BOGOF,abbreviation,"buy one, get one free (a type of special offer used in shops)"
BPD,abbreviation,borderline personality disorder (= a personality disorder in which somebody finds it difficult to control their emotions or form stable relationships with other people and often acts impulsively without thinking about the consequences)
BRB,abbreviation,"(especially in emails, messages sent using an instant messaging service, etc.) be right back (when you have to leave your computer, etc. for a short time)"
BSE,noun,a brain disease of cows that causes death (the abbreviation for ‘bovine spongiform encephalopathy’) 
BSL,noun,a sign language (= a language that uses hand movements rather than words) developed and used in the UK (the abbreviation for British Sign Language)
BSc,noun,a first university degree in science (the abbreviation for ‘Bachelor of Science’) 
BTEC,noun,used to refer to any of a large group of British qualifications that can be taken in many different subjects at several levels (the abbreviation for ‘Business and Technology Education Council’)
Baha’i,noun,"a religion that teaches that all people and religions are the same, and that there should be peace"
Band-Aid,noun,1. material that can be stuck to the skin to protect a small wound or cut; a piece of this 2. a temporary solution to a problem that does not really solve it at all
Bangla,noun,1. the Bengali language 2. Bangladesh
Baptist,noun,a member of a Christian Protestant Church that believes that people should be baptized when they are old enough to understand what it means and not when they are babies
Baptist,adjective,being a Baptist; connected with Baptists
Basque,noun,a piece of women’s underwear that covers the body from just under the arms to the tops of the legs
Bauhaus,noun,a style and movement in German architecture and design in the early 20th century that was influenced by the methods and materials used in industry and placed emphasis on how things would be used
Benedictine,adjective,connected with a Christian group of monks or nuns who follow the rules of St Benedict
Benedictine,noun,a member of a Christian group of monks or nuns following the rules of St Benedict
Berliner,adjective,"(of a newspaper) printed on pages measuring 470mm by 315mm, smaller than a broadsheet and larger than a tabloid"
Bhagwan,noun,1. God 2. a title for a guru or a god in the form of a man
Bitcoin,noun,"1. a system of electronic money, used for buying and selling online and without the need for a central bank 2. a unit of the bitcoin electronic system of money"
Bodhisattva,noun,a person who is able to reach nirvana (= a state of peace and happiness) but who delays doing this because of the suffering of other humans
Boer,noun,"1. a South African whose family originally came from the Netherlands 2. a farmer 3. used to refer to a member of the police or the army, especially in the past"
Bon,noun,"a Japanese Buddhist festival that takes place in July or August, when people show respect to the dead"
Bovril,noun,"1. a dark substance made from beef, used in cooking and for making drinks 2. a hot drink made by mixing Bovril with water"
Brahman,noun,"a Hindu who belongs to the caste (= division of society) that is considered the highest, originally that of priests"
Brahmin,noun,"1. a Hindu who belongs to the caste (= division of society) that is considered the highest, originally that of priests 2. a person who is rich and has a lot of influence in society, especially somebody from New England whose family belongs to the highest social class"
Breton,noun,1. the Celtic language of Brittany in north-west France 2. a person who was born in Brittany or who lives in Brittany
Brexit,noun,used to refer to the departure of the United Kingdom from the European Union
Brexiteer,noun,a person supporting Brexit (= the departure of the United Kingdom from the European Union)
Brie,noun,a type of soft French cheese
Byzantine,adjective,"1. connected with Byzantium or the Eastern Roman Empire 2. used to describe architecture of the 5th to the 15th centuries in the Byzantine Empire, especially churches with high central domes and mosaics 3. complicated, secret and difficult to change"
C-suite,noun,"the senior executives of a company, for example the CEO, CFO, etc. "
CAD,abbreviation,"computer-aided design (= the use of computers to design machines, buildings, vehicles, etc.)"
CADCAM,abbreviation,"computer-aided design, computer-aided manufacture (= he use of computers in the design and manufacture of products)"
CAM,abbreviation,computer-aided manufacturing (= the use of computers to make products in factories)
CBE,noun,an award given in the UK to some people for a special achievement; a person who has received this award (the abbreviation for ‘Commander (of the Order) of the British Empire’) 
CCU,noun,1. part of a hospital that provides intensive care (the abbreviation for ‘critical care unit’)  2. part of a hospital that provides care for people with heart conditions (the abbreviation for ‘coronary care unit’ or ‘cardiac care unit’) 
CFC,noun,a type of gas previously used especially in aerosols (= types of container that release liquid in very small drops). CFCs are harmful to the earth’s ozone layer and are generally no longer used in these products. (the abbreviation for ‘chlorofluorocarbon’) 
CGI,abbreviation,computer-generated imagery
CID,abbreviation,Criminal Investigation Department (the department of the British police force that is responsible for solving crimes)
CJD,abbreviation,Creutzfeldt-Jakob disease
CMC,abbreviation,"computer-mediated communication’ (= communication by email, instant messaging, social media sites, etc.)"
COBOL,noun,an early computer language used in business programs
CPA,abbreviation,certified public accountant (a member of an officially approved professional organization of accountants)
CPU,abbreviation,central processing unit (the part of a computer that controls all the other parts of the system)
CTC,abbreviation,(in the UK) City Technology College (a school in a town or city for students aged 11 to 18 that places a strong emphasis on teaching science and technology)
Cadillac,noun,1. a large and expensive US make of car 2. something that is thought of as an example of the highest quality of a type of thing
Calvados,noun,a French strong alcoholic drink made by distilling apple juice
Calvinism,noun,"the set of beliefs based on the teachings of the French Protestant, John Calvin "
Calvinist,noun,"1. a person who follows the set of beliefs based on the teachings of the French Protestant, John Calvin 2. a person who has very strict moral attitudes"
Calvinist,adjective,"1. connected with a Church that follows the teachings of the French Protestant, John Calvin 2. having very strict moral attitudes"
Cambrian,adjective,1. of the first period of the Palaeozoic; of the rocks formed during this time 2. relating to Wales
Camembert,noun,a type of soft French cheese with a strong taste
Cantonese,noun,"1. a form of Chinese spoken mainly in southern China, including Hong Kong 2. a person whose first language is Cantonese"
Canute,noun,a Danish king of England (1017–35). He is remembered for standing in front of the sea in order to show people that he was not able to order the water that was moving in towards the land to turn back. The story is often changed to suggest that Canute really thought that he could turn back the sea.
Caplet,noun,"a long narrow tablet of medicine, with round ends, that you swallow"
Carib,noun,the language of a people living mainly near the coast in the north-east of South America
Catalan,noun,"1. a language spoken in Catalonia, Andorra, the Balearic Islands and parts of southern France 2. a person who was born in or who lives in Catalonia"
Catseye,noun,one of a line of small objects that are fixed into a road and that reflect a car’s lights in order to guide traffic at night
Caucasian,noun,a member of any of the groups of people who have pale skin
Caucasian,adjective,belonging to one of the groups of people who have pale skin
Celt,noun,"1. a member of a people from western Europe who settled in ancient Britain before the Romans came 2. a person whose ancestors were Celts, especially one from Ireland, Wales, Scotland, Cornwall or Brittany"
Celtic,adjective,connected with the Celts or their language
Chasid,noun,a person who believes in and follows a form of the Jewish religion that has very strict beliefs (= Chasidism)
Chasidic,adjective,connected with Chasidism (= a form of the Jewish religion that has very strict beliefs)
Cheddar,noun,a type of hard yellow cheese
Chicana,noun,a girl or woman living in the US whose family came from Mexico
Chicano,noun,a person living in the US whose family came from Mexico
Co.,abbreviation,"Commanding Officer (an officer who commands a group of soldiers, sailors, etc.)"
Cointreau,noun,a strong sweet alcoholic drink made with oranges
Con.,abbreviation,1. a trick; an act of cheating somebody 2. a convict (= a person who has been found guilty of a crime and sent to prison) 3. the advantages and disadvantages of something
Congregational,adjective,"1. connected with a group of people who are gathered together in a church for a religious service, not including the priest and choir 2. connected with the group of people who belong to a particular church and go there regularly"
Congregationalism,noun,a type of Christianity in which the congregation of each church is responsible for its own affairs
Congregationalist,noun,a member of a Christian church that practises Congregationalism
Cornish,noun,the Celtic language that was spoken in Cornwall in England. Nobody now uses Cornish as a first language.
Creole,noun,"1. a person who has both European and African ancestors, especially a person who lives in the West Indies 2. a person whose ancestors were among the first Europeans who settled in the West Indies or South America, or one of the French or Spanish people who settled in the southern states of the US 3. a language formed when a mixture of a European language with a local language (especially an African language spoken by slaves in the West Indies) is spoken as a first language"
Cretaceous,adjective,"belonging to the period between around 146 and 65 million years ago, when dinosaurs lived (until they died out); relating to the rocks formed during this time"
Crocs,noun,shoes made from a soft comfortable material that fits the wearer's feet 
CrossFit,noun,an extreme fitness programme that includes elements from various sports and types of exercise
Cupid,noun,"1. the Roman god of love who is shown as a beautiful baby boy with wings, carrying a bow and arrow 2. a picture or statue of a baby boy who looks like Cupid 3. to try to start a romantic relationship between two people"
DID,abbreviation,"dissociative identity disorder (= a mental illness in which somebody feels uncertain about who they are and feels that they have more than one separate identity, each one having its own name, voice, memories, personality, etc.)"
DMs,noun,Dr Martens™ (= a type of comfortable heavy boot or shoe with laces)
DOI,abbreviation,digital object identifier (a series of numbers and letters that identifies a particular text or document published in electronic form on the internet)
Dada,noun,1. an older brother or male cousin 2. used after the first name of an older man as a polite way of addressing him 3. the father of your father
Dadaism,noun,the Dada movement
Dalmatian,noun,a large dog that has short white hair with black spots
Deepavali,noun,"a Hindu festival that is held in the October or November, celebrated by lighting candles and clay lamps, and with fireworks"
Dem.,abbreviation,(in politics in the US) democrat; democratic
Dharma,noun,1. the law that affects the whole universe and on which all correct behaviour is based 2. the teachings of the Buddha
Dharuk,noun,"an Aboriginal language of the area around Sydney, Australia, which is no longer spoken"
Dominican,noun,1. a member of a Christian group of friars or nuns following the rules of St Dominic 2. a person from the Dominican Republic 3. a person from the island of Dominica
Dominican,adjective,1. belonging to or connected with the Christian group of friars or nuns following the rules of St Dominic 2. from or connected with the Dominican Republic 3. from or connected with the island of Dominica
Doric,adjective,used to describe the oldest style of architecture in ancient Greece that has thick plain columns and no decoration at the top
Druid,noun,a priest of an ancient Celtic religion
E-fit,noun,"a picture of a person who is wanted by the police, made using a computer program that puts together and makes changes to pictures of different features of faces, based on information that is given by somebody who has seen the person"
EDM,noun,a type of popular music with a strong beat that people dance to in clubs (the abbreviation for ‘electronic dance music’) 
ELL,noun,"a unit used in the past for measuring cloth, equal to about 45 inches or 115 centimetres"
EMS,noun,"1. a system for sending pictures, music and long written messages from one mobile phone to another (the abbreviation for ‘enhanced messaging service’)  2. a message sent by EMS"
EMU,abbreviation,Economic and Monetary Union (of the European Union)
ENT,abbreviation,"ear, nose and throat (as a department in a hospital or a branch of medicine)"
ESOL,abbreviation,English for speakers of other languages (used especially in the UK and Ireland to refer to the teaching of English as a foreign language to people who are living in a country in which English is either the first or second language)
ETA,abbreviation,"estimated time of arrival (the time at which an aircraft, a ship, etc. is expected to arrive)"
ETD,abbreviation,"estimated time of departure (the time at which an aircraft, ship, etc. is expected to leave)"
Ebola,noun,"a very serious disease, caused by a virus, that causes internal parts of the body to lose blood and usually ends in death"
EdTech,noun,educational technology (creating and using technology for education and study)
Edam,noun,a type of round yellow Dutch cheese that is covered with red wax
Edwardian,adjective,from the time of the British king Edward VII (1901–1910)
Egyptologist,noun,"a person who studies the language, history and culture of ancient Egypt"
Egyptology,noun,"the study of the language, history and culture of ancient Egypt"
Emmental,noun,"a type of Swiss cheese, with holes in it"
Emmy,noun,one of the awards given every year in the US for achievement in the making of television programmes
Entryphone,noun,a type of phone on the wall next to the entrance to a building enabling a person inside the building to speak to a person outside before opening the door
EpiPen,noun,a small device used to give an injection of epinephrine in order to treat a severe allergic reaction
Episcopalian,noun,a member of the Episcopal Church
Erse,noun,the Scottish or Irish Gaelic language
Etruscan,noun,"1. a person from ancient Etruria (= an ancient state of central Italy), whose culture had an important influence on that of the ancient Romans 2. the language of the ancient Etruscan people, "
Eucharist,noun,a ceremony in the Christian Church during which people eat bread and drink wine in memory of the last meal that Christ had with his disciples; the bread and wine taken at this ceremony
Eurasian,adjective,1. of or connected with both Europe and Asia 2. having one Asian parent and one parent who is white or from Europe
Eurasian,noun,a person with one Asian parent and one parent who is white or from Europe
FLOTUS,abbreviation,First Lady of the United States (the wife of the President of the US)
FOMO,abbreviation,fear of missing out (a feeling of worry that an interesting or exciting event is happening somewhere else)
FPS,abbreviation,feet per second (the speed at which something moves)
Faustian,adjective,"an agreement in which somebody agrees to do something bad or dishonest, in return for money, success or power"
Fauvism,noun,a style of painting that uses bright colours and in which objects and people are represented in a non-realistic way. It was popular in Paris for a short period from 1905.
Filipino,noun,1. a person from the Philippines 2. the language of the Philippines
Flemish,noun,1. the Dutch language as spoken in northern Belgium 2. the people of Flanders in northern Belgium
Fortran,noun,a high-level computer language used especially for doing scientific calculations
Franciscan,adjective,relating to St Francis or to this organization
Franciscan,noun,a member of a religious organization started in 1209 by St Francis of Assisi in Italy
Frankenfood,noun,food that has been genetically modified
Frankenstein,noun,"used to talk about something that somebody creates or invents that goes out of control and becomes dangerous, often destroying the person who created it"
Freephone,noun,"(in the UK) a system in which the cost of a phone call is paid for by the organization being called, rather than by the person making the call"
Friesian,noun,a type of black and white cow that produces a lot of milk
Frisbee,noun,"a light plastic object, like a plate in shape, that is thrown from one player to another in a game"
Futurism,noun,"a movement in art and literature in the 1920s and 30s that did not try to show realistic figures and scenes but aimed to express confidence in the modern world, particularly in modern machines"
Futurist,adjective,in the style of futurism in art and literature of the 1920s and 30s; working in this style
GBH,abbreviation,grievous bodily harm
GED,noun,"1. an official certificate that people who did not finish high school can get, after taking classes and passing a test (the abbreviation for ‘General Equivalency Diploma’)  2. the test that people take in order to get the GED certificate (the abbreviation for ‘General Educational Development’) "
GIF,noun,a type of computer file that contains images and is used especially to make them appear to move (the abbreviation for ‘Graphic Interchange Format’) 
GMAT,abbreviation,Graduate Management Admissions Test (a test taken by graduate students in the US who want to study for a degree in Business)
GMO,noun,"a plant, etc. that has had its genetic structure changed artificially, so that, for example, it will produce more fruit or not be affected by disease (the abbreviation for ‘genetically modified organism’) "
GMT,abbreviation,"Greenwich Mean Time (the time at Greenwich in England on the line of 0° longitude, used in the past for calculating time everywhere in the world)"
GOAT,noun,"1. an animal with horns and a coat of hair, that lives wild in mountain areas or is kept on farms for its milk or meat 2. an old man who you think is unpleasant and annoying in a sexual way 3. to annoy somebody very much"
GUI,noun,a way of giving instructions to a computer using things that can be seen on the screen such as symbols and menus (the abbreviation for ‘graphical user interface’) 
Gaelic,noun,1. the Celtic language of Scotland 2. the Celtic language of Ireland
Gaia,noun,"the Earth, considered as a single natural system that organizes and controls itself"
Gaulish,noun,the Celtic language of the ancient Gauls
Georgian,adjective,from the time of the British kings George I–IV (1714–1830)
God-fearing,adjective,living a moral life based on religious principles
Gorgonzola,noun,a type of Italian cheese with blue marks and a strong taste
Gothic,noun,1. the Gothic style of architecture 2. Gothic printing type or printed letters
Gothic,adjective,"1. connected with the Goths (= a Germanic people who fought against the Roman Empire) 2. built in the style that was popular in western Europe from the 12th to the 16th centuries, and which has pointed arches and windows and tall thin pillars 3. written in the style popular in the 18th and 19th centuries, which described romantic adventures in mysterious or frightening places or situations"
Gouda,noun,a type of Dutch cheese that is covered with yellow wax
Grammy,noun,one of the awards for achievement in the music industry given every year by the US National Academy of Recording Arts and Sciences
Grecian,adjective,from ancient Greece or like the styles of ancient Greece
Gruyère,noun,a type of Swiss cheese with a strong taste
Guernsey,noun,"1. a type of cow kept for its rich milk 2. a thick sweater made with dark blue wool that has been specially treated so that it does not let water through, worn originally by fishermen 3. a football sweater, especially one of the type without arms worn by Australian Rules players"
Gujarati,noun,1. a person from the state of Gujarat in western India 2. the language of Gujarat
Gullah,noun,"a language spoken by black people living on the coast of South Carolina, that is a combination of English and various West African languages"
H-bomb,noun,a very powerful nuclear bomb
HDB,noun,used to refer to public housing built and managed by the government (the abbreviation for ‘Housing and Development Board’)
HDTV,noun,technology that produces extremely clear images on a television screen (the abbreviation for ‘high definition television’) 
HGV,noun,a large vehicle such as a lorry (the abbreviation for ‘heavy goods vehicle’)
HIIT,noun,a form of exercise in which you do short periods of very hard physical activity with easier exercises in between (the abbreviation for high-intensity interval training)
HMS,abbreviation,Her/His Majesty’s Ship (used before the name of a ship in the British navy)
Hadith,noun,"1. a text containing things said by Muhammad and descriptions of his daily life, used by Muslims as a spiritual guide 2. one of the things said by Muhammad, recorded in this text"
Hasid,noun,a person who believes in and follows a form of the Jewish religion that has very strict beliefs (= Hasidism)
Hasidic,adjective,connected with Hasidism (= a form of the Jewish religion that has very strict beliefs)
Hasidism,noun,a form of the Jewish religion that has very strict beliefs
Hassidism,noun,a form of the Jewish religion that has very strict beliefs
Hausa,noun,"a language spoken by the Hausa people of West Africa, especially in Nigeria and Niger, and also used in other parts of West Africa as a language of communication between different peoples"
Hebrew,noun,1. a member of an ancient people living in what is now Israel and Palestine. Their writings and traditions form the basis of the Jewish religion. 2. the language traditionally used by the Hebrew people 3. a modern form of the Hebrew language which is the official language of modern Israel
Hellenistic,adjective,"of or connected with the Greek history, language and culture of the 4th–1st centuries BC"
Hispanic,adjective,"of or connected with Spain or Spanish-speaking countries, especially those of Latin America"
Hispanic,noun,"a person whose first language is Spanish, especially one from a Latin American country living in the US or Canada"
Hogmanay,noun,(in Scotland) New Year’s Eve (31 December) and the celebrations that happen on that day
Holstein,noun,a type of black and white cow that produces a lot of milk
Hons,abbreviation,honours (used after the name of a university degree)
Horlicks,noun,1. powder that contains malt that you mix with hot milk to make a drink 2. a drink made by mixing Horlicks powder with hot milk 3. to do something badly
I-spy,noun,a children’s game in which one player gives the first letter of a thing that they can see and the others have to guess what it is
ICU,noun,intensive care unit (in a hospital)
IDK,abbreviation,"(on social media, in text messages, etc.) I don’t know "
IDP,abbreviation,"internally displaced person (a person who has been forced to move within their own country because of war, a natural disaster, etc.)"
IED,noun,a bomb made and used by people who are not members of the military forces of a country (the abbreviation for ‘improvised explosive device’)
IMF,abbreviation,International Monetary Fund (the organization within the United Nations that is concerned with trade and economic development)
IMHO,abbreviation,"in my humble opinion (used especially in emails, in text messages, on social media, etc. when you give your opinion about something)"
IMO,abbreviation,"in my opinion (used especially in emails, in text messages, on social media, etc. when you give your opinion about something) "
IOU,noun,a written promise that you will pay somebody the money you owe them (a way of writing ‘I owe you’)
IPO,abbreviation,initial public offering (the act of selling shares in a company for the first time)
ISA,noun,1. Individual Savings Account (a special account in the UK in which you can invest a limited amount each year without paying tax on the income) 2. Industry Standard Architecture (the usual international system used for connecting computers and other devices)
ISP,abbreviation,"internet service provider (a company that provides you with an internet connection and services such as email, etc.)"
Ibo,noun,"a language spoken by the Igbo people of West Africa, especially in south-east Nigeria"
Identikit,noun,"a picture of a person who is wanted by the police, made by putting together photographs of different features of faces from information that is given by somebody who has seen the person"
Igbo,noun,"a language spoken by the Igbo people of West Africa, especially in south-east Nigeria"
Interpol,noun,an international organization that enables the police forces of different countries to help each other to solve crimes
IoT,noun,"the connection of devices within everyday objects via the internet, enabling them to share data (the abbreviation for internet of things)"
Ironman,noun,"an extreme triathlon that involves swimming for 2.4 miles, cycling for 112 miles and running for 26.22 miles"
Islamophobia,noun,dislike or unfair treatment of Islam or Muslims
Italianate,adjective,in an Italian style
J.D.,noun,a degree from a law school (the abbreviation for ‘Juris Doctor’)
JCB,noun,a powerful vehicle with a long arm for digging and moving earth
JOMO,abbreviation,"joy of missing out (enjoying spending your free time doing whatever you want to do, without worrying that something more interesting is happening somewhere else)"
Jacuzzi,noun,"a large bath with a pump that moves the water around, giving a pleasant feeling to your body"
Jai,exclamation,"used to show that you support or admire a leader, a nation, etc., or that you are pleased that they have been successful; an expression of worship to a god"
Jain,noun,a member of an Indian religion whose principles include not harming any living creature and a belief in reincarnation
Jainism,noun,an Indian religion whose principles include not harming any living creature and a belief in reincarnation
Javanese,noun,the Indonesian language of central Java
Jesuit,noun,"a Roman Catholic priest who is a member of the Society of Jesus, a group founded in 1534 to do missionary work"
Jewry,noun,Jewish people as a group
Judaic,adjective,belonging to or connected with Judaism
Juneteenth,noun,a holiday on 19 June to celebrate the emancipation (= freeing) of slaves in the United States
Jurassic,adjective,"of the period between around 208 to 146 million years ago, when the largest known dinosaurs lived; of the rocks formed during this time"
K-12,adjective,(in the US) relating to education from kindergarten (= the class that prepares children for school) to 12th grade
K-drama,noun,1. a TV drama series produced in South Korea 2. South Korean TV drama series as a genre
K-pop,noun,pop music from South Korea
Kaaba,noun,"the building in the centre of the Great Mosque in Mecca, the site that is most holy to Muslims and towards which they must face when they are praying"
Kalashnikov,noun,a type of rifle (= a long gun) that can fire bullets very quickly
Kannada,noun,a language spoken in Karnataka in south-west India
Khmer,noun,the official language of Cambodia
Kollywood,noun,"used to refer to the Tamil film industry, which is mainly based in the Kodambakkam neighbourhood of the Indian city of Chennai (in the past called Madras)"
L-plate,noun,"(in the UK and some other countries) a white sign with a large red letter L on it, that you put on a car when you are learning to drive"
LAN,noun,a system for communicating by computer within a large building or group of buildings (the abbreviation for ‘local area network’) 
LBD,noun,little black dress (= a short or medium-length black dress that is suitable for almost any social occasion)
LGBTI,abbreviation,"lesbian, gay, bisexual, transgender and intersex"
LGBTQI,abbreviation,"lesbian, gay, bisexual, transgender, queer (or questioning) and intersex"
LGBTQIA,abbreviation,"lesbian, gay, bisexual, transgender, queer (or questioning), intersex and asexual (or allies)"
LSD,noun,a powerful illegal drug that affects people’s minds and makes them see and hear things that are not really there
Lab.,abbreviation,a laboratory
Lahnda,noun,a language spoken in north-west India and Pakistan
Lamaism,noun,Tibetan Buddhism
Latina,noun,"a woman or girl, especially one who is living in the US, who comes from Latin America, or whose family came from there"
Latina,adjective,describing or connected with a Latina or with Latinas
Latino,adjective,describing or connected with a Latino or with Latinos
Latino,noun,"a person, especially one who is living in the US, who comes from Latin America, or whose family came from there"
Latinx,noun,"a person, especially one who is living in the US, who comes from Latin America, or whose family came from there (used as a gender-neutral alternative to Latino or Latina)"
Latinx,adjective,describing or connected with a Latinx or Latinxs
Lazarus,noun,used to refer to somebody who improves or starts to be successful again after a period of failure
Leninism,noun,"the political and economic policies of Lenin, the first leader of the Soviet Union, which were based on Marxism"
Leninist,adjective,supporting or connected with Leninism
Leninist,noun,a person who supports Leninism
Lent,noun,"the period of 40 days from Ash Wednesday to the day before Easter, traditionally a time of fasting (= giving up food or certain types of food), prayer and giving to charity"
MBE,noun,an award given to some people in the UK for a special achievement; a person who has received this award (the abbreviation for ‘Member (of the Order) of the British Empire’) 
MDMA,noun,the illegal drug Ecstasy
MDT,abbreviation,Mountain Daylight Time
MFA,abbreviation,multi-factor authentication (a method of checking the identity of digital users that involves checking at least two different proofs of identity before a user is granted access to a website or app)
MHz,abbreviation,(in writing) megahertz
MMA,abbreviation,"mixed martial arts (= an extreme sport in which two people fight each other using the techniques of boxing, wrestling and martial arts)"
MMS,noun,a system for sending colour pictures and sounds as well as short written messages from one mobile phone to another (the abbreviation for ‘Multimedia Messaging Service’) 
MNC,noun,a large business company that does business in several different countries (the abbreviation for ‘multinational corporation’) 
MND,abbreviation,motor neurone disease (= a disease in which the nerves and muscles become gradually weaker until the person dies)
MOR,noun,"music that is pleasant to listen to, but is not exciting or original (the abbreviation for ‘middle-of-the-road’)"
MOT,noun,a test that any vehicle in the UK over three years old must take in order to make sure that it is safe and in good condition (the abbreviation for ‘Ministry of Transport’) 
MPV,noun,a large car like a van (the abbreviation for ‘multipurpose vehicle’) 
MRI,noun,a method of using a strong magnetic field to produce an image of the inside of a person’s body (the abbreviation for ‘magnetic resonance imaging’) 
MRSA,noun,a type of bacteria that cannot be killed by standard antibiotics (the abbreviation for ‘methicillin-resistant Staphylococcus aureus’) 
MSc,noun,a second university degree in science (the abbreviation for ‘Master of Science’) 
MUD,noun,"1. wet earth that is soft and sticky 2. not clear at all; not easy to understand 3. to criticize or say bad things about somebody in public, in a way that is unfair"
MYOB,abbreviation,"(especially in emails, comments on social media, etc.) mind your own business (think about your own affairs and do not ask questions about or try to get involved in other people’s lives)"
Mace,noun,"a chemical that makes your eyes and skin sting (= feel a sharp pain), that some people, including police officers, carry in spray cans so that they can defend themselves against people attacking them"
Machiavellian,adjective,"using clever plans to achieve what you want, without people realizing what you are doing"
Mahayana,noun,one of the two major forms of Buddhism
Makaton,noun,"a language system created for people who have difficulty communicating, especially people with learning disabilities, that uses a combination of speech, hand movements and pictures "
Malay,noun,1. a member of a people living in Malaysia and Indonesia 2. the language of the Malay people of Malaysia and Indonesia
Malayalam,noun,a language spoken in Kerala in south-west India
Maltese,noun,1. a person from Malta 2. the language of Malta
Marathi,noun,a language spoken in Maharashtra in western India
Martian,noun,an imaginary creature from the planet Mars
