english,tag,definition
agreement,noun,"1. an arrangement, a promise or a contract made with somebody 2. the state of sharing the same opinion or feeling"
ahead,adverb,1. further forward in space or time; in front 2. earlier
aim,verb,1. to try or plan to achieve something 2. to have something as an aim
aim,noun,1. the purpose of doing something; what somebody is trying to achieve 2. the action or skill of pointing a weapon at somebody/something
airfare,noun,the money that you pay to travel by plane
airsick,adjective,feeling or being sick when you are travelling on an aircraft
airsickness,noun,"being sick, or the feeling that you are going to be sick, caused by travelling on an aircraft"
alarm,noun,"1. a loud noise or a signal that warns people of danger or of a problem 2. a device that warns people of a particular danger, or that a particular person is in danger"
album,noun,"1. a book in which you keep photographs, stamps, etc. 2. a collection of pieces of music released as a single item, usually on the internet or on a CD"
alcohol,noun,"1. drinks such as beer, wine, etc. that can make people drunk 2. the clear liquid that is found in drinks such as beer, wine, etc. and is used in medicines, cleaning products, etc."
alcoholic,adjective,1. connected with or containing alcohol 2. caused by drinking alcohol
alternative,adjective,1. that can be used instead of something else 2. different from the usual or traditional way in which something is done
amaze,verb,to surprise somebody very much
amazed,adjective,very surprised
ambition,noun,"1. something that you want to do or achieve very much 2. the desire or strength of mind to be successful, rich, powerful, etc."
ambitious,adjective,"1. determined to be successful, rich, powerful, etc. 2. needing a lot of effort, money or time to succeed"
ambitiously,adverb,"1. in a way that requires a lot of effort, money or time  2. in a way that shows you are determined to be successful, rich, powerful, etc. "
analyse,verb,"1. to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it 2. to treat or study somebody using psychoanalysis"
analysis,noun,1. the detailed study or examination of something in order to understand more about it; the result of the study 2. a careful examination of a substance in order to find out what it consists of
angrily,adverb,in a way that shows you have strong feelings about something that you dislike very much or about an unfair situation
announce,verb,"1. to tell people something officially, especially about a decision, plans, etc. 2. to give information about something in a public place, especially through a loudspeaker"
announcement,noun,1. a spoken or written statement that informs people about something 2. the act of publicly informing people about something
annoy,verb,1. to make somebody slightly angry  2. to make somebody uncomfortable or unable to relax
annoyed,adjective,slightly angry
annoying,adjective,making somebody feel slightly angry
answerphone,noun,a machine that you connect to your phone to answer your calls and record any message left by the person calling
ant,noun,1. a small insect that lives in highly organized groups. There are many types of ant. 2. to be very excited or impatient about something and unable to stay still
apart,adverb,"1. separated by a distance, of space or time 2. not together; separate or separately"
apologize,verb,to say that you are sorry for doing something wrong or causing a problem
apostrophe,noun,"1. the mark ( ’ ) used to show that one or more letters or numbers have been left out, as in she’s for she is and ’"
application,noun,"1. a formal (often written) request for something, such as a job, permission to do something or a place at a college or university 2. the practical use of something, especially a theory, discovery, etc."
appointment,noun,"1. a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work 2. the act of choosing a person for a job or position of responsibility; the fact of being chosen for a job, etc."
appreciate,verb,1. to recognize the good qualities of somebody/something 2. to be grateful for something that somebody has done; to welcome something
approximately,adverb,"used to show that something is almost, but not completely, accurate or correct"
area,noun,"1. part of a place, town, etc., or a region of a country or the world 2. a part of a room, building or particular space that is used for a special purpose"
armchair,noun,a comfortable chair with sides on which you can rest your arms
arrest,noun,1. the act of arresting somebody 2. an act of something stopping or being interrupted
arrest,verb,"1. if the police arrest somebody, the person is taken to a police station and kept there because the police believe they may be guilty of a crime 2. to stop a process or a development"
arrival,noun,1. an act of coming or being brought to a place 2. the part of an airport that you go through when you arrive on a plane
article,noun,"1. a piece of writing about a particular subject in a newspaper or magazine, on a website, etc. 2. a separate item in an agreement or a contract"
assignment,noun,"1. a task or piece of work that somebody is given to do, usually as part of their job or studies 2. the act of giving something to somebody; the act of giving somebody a particular task"
assist,verb,1. to help somebody to do something 2. to help something to happen more easily
astronaut,noun,a person whose job involves travelling and working in a spacecraft
athletic,adjective,"1. physically strong, fit and active 2. connected with sports such as running, jumping and throwing (= athletics)"
athletics,noun,"1. sports such as running, jumping and throwing that people compete in 2. any sports that people compete in"
atmosphere,noun,1. the mixture of gases that surrounds the earth 2. a mixture of gases that surrounds another planet or a star
attach,verb,1. to fasten or join one thing to another 2. to send an electronic document with an email
attacker,noun,"1. a person who attacks somebody 2. a player who tries to score in games such as football (soccer), hockey, etc."
attendant,noun,"1. a person whose job is to serve or help people in a public place 2. a person who takes care of and lives or travels with a person who has an important job, or who has a medical condition or disability"
attitude,noun,"1. the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel 2. confident, sometimes aggressive behaviour that shows you do not care about other people’s opinions and that you want to do things in an individual way"
attract,verb,"1. if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them 2. to have a sexual or romantic interest in somebody"
attraction,noun,"1. an interesting or lively place to go or thing to do 2. a feeling of liking somebody, especially sexually"
authority,noun,1. the power to give orders to people 2. the power or right to do something
auxiliary,noun,"1. a verb such as be, do and have used with main verbs to show tense, etc. and to form questions and negatives 2. a worker who gives help or support to the main group of workers"
average,verb,1. to be equal to a particular amount as an average 2. to calculate the average of something
award,verb,"to make an official decision to give something to somebody as a payment, prize, contract, etc."
aware,adjective,"1. knowing or realizing something 2. interested in and knowing about something, and thinking it is important"
backbone,noun,"1. the row of small bones that are connected together down the middle of the back 2. the most important part of a system, an organization, etc. that gives it support and strength"
backpack,noun,"1. a bag that you carry on your back, made of strong material and often used by people who go climbing or walking 2. a piece of equipment that is carried on the back"
backwards,adverb,1. towards a place or position that is behind 2. in the opposite direction to the usual one
bacon,noun,"1. meat from the back or sides of a pig that has been cured (= preserved using salt or smoke), usually served in thin slices 2. to be successful at something; to earn money for your family to live on"
baggy,adjective,fitting loosely
bake,verb,1. to cook food in an oven without extra fat or liquid; to be cooked in this way 2. to become hard when heated; to make something hard by heating it
baker,noun,1. a person whose job is baking and selling bread and cakes 2. a shop that sells bread and cakes
baking,noun,"1. the process of cooking using dry heat in an oven 2. bread, cakes, etc. that somebody has made"
balance,noun,"1. a situation in which different things exist in equal, correct or good amounts 2. the ability to keep steady with an equal amount of weight on each side of the body"
balance,verb,1. to put your body or something else into a position where it is steady and does not fall 2. to give equal importance to two things or parts of something which are very different
balcony,noun,"1. a platform that is built on the upstairs outside wall of a building, with a wall or rail around it. You can get out onto a balcony from an upstairs room. 2. an area of seats upstairs in a theatre"
ban,noun,1. an official rule that says that something is not allowed 2. an official decision that means a person is not allowed to do something or go somewhere for a period of time 
ban,verb,"1. to decide or say officially that something is not allowed 2. to order somebody not to do something, go somewhere, etc., especially officially"
bank,noun,"1. an organization that provides various financial services, for example keeping or lending money 2. a supply of money or things that are used as money in some games, especially those in which gambling is involved"
banking,noun,the business activity of banks
barbecue,noun,1. a metal frame for cooking food on over an open fire outdoors 2. an outdoor meal or party when food is cooked in this way
barbecue,verb,to cook food on a barbecue
base,noun,"1. the lowest part of something, especially the part or surface on which it rests or stands 2. the main place where you live or stay or where a business operates from"
base,verb,"to use a particular city, town, etc. as the main place for a business, holiday, etc."
basic,adjective,1. forming the part of something that is most necessary and from which other things develop 2. of the simplest kind or at the simplest level
basis,noun,1. the way things are organized or arranged; how often something happens 2. the reason why people take a particular action
battery,noun,"1. a device that is placed inside a car engine, clock, radio, etc. and that produces the electricity that makes it work 2. electrical power that comes from a battery"
battle,noun,"1. a fight between armies, ships or planes, especially during a war; a violent fight between groups of people 2. a competition, an argument or a struggle between people or groups of people trying to win power or control"
beauty,noun,1. the quality of giving pleasure to the senses or to the mind 2. a person or thing that is beautiful
bee,noun,"1. a black and yellow flying insect that can sting (= touch your skin and make you feel a sharp pain).Bees live in large groups and make honey (= a sweet sticky substance that is good to eat). 2. a meeting in a group where people combine work, competition and pleasure"
beginner,noun,a person who is starting to learn something and cannot do it very well yet
belief,noun,1. a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right 2. an opinion about something; something that you think is true
bell,noun,"1. a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes 2. an electrical device which makes a ringing sound when a button on it is pushed; the sound that it makes, used as a signal or a warning"
bend,noun,"1. a curve or turn, especially in a road or river 2. severe pain and difficulty in breathing experienced by a diver who comes back to the surface of the water too quickly"
bend,verb,"1. to lean, or make something lean, in a particular direction 2. if you bend your arm, leg, etc. or if it bends, you move it so that it is no longer straight"
benefit,verb,1. to be useful to somebody or improve their life in some way 2. to be in a better position because of something
better,noun,1. something that is better 2. people who are more intelligent or more important than you
bicycle,verb,to go somewhere on a bicycle
bike,verb,1. to go somewhere on a bicycle or motorcycle 2. to send something to somebody by motorcycle
bike,noun,1. a bicycle 2. a motorcycle
biologist,noun,a scientist who studies biology
bite,verb,1. to use your teeth to cut into or through something 2. to wound somebody by making a small hole or mark in their skin
bite,noun,1. an act of biting 2. the way the upper and lower teeth fit together
blackboard,noun,a large board with a smooth black or dark green surface that teachers write on with a piece of chalk
block,verb,"1. to stop something from moving or flowing through a pipe, a passage, a road, etc. by putting something in it or across it 2. to stop somebody from going somewhere or seeing something by standing in front of them or in their way"
block,noun,"1. a large piece of a solid material that is square or rectangular in shape and usually has flat sides 2. a tall building that contains flats or offices; buildings that form part of a school, hospital, etc. which are used for a particular purpose"
blog,verb,to keep a blog; to write something in a blog
blogger,noun,a person who writes a blog
blogging,noun,the activity of writing a blog
blouse,noun,"1. a piece of clothing like a shirt, worn by women 2. an offensive term for a weak man, who is not brave or confident"
board,verb,"1. to get on a ship, train, plane, bus, etc. 2. when a plane or ship is boarding, it is ready for passengers to get on"
boat,noun,"1. a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor 2. any ship"
bomb,noun,1. a weapon designed to explode at a particular time or when it is dropped or thrown 2. nuclear weapons (atomic or hydrogen bombs)
bomb,verb,"1. to attack something/somebody by leaving a bomb in a place or by dropping bombs from a plane 2. to move very fast, especially in a vehicle, in a particular direction"
bomber,noun,1. a plane that carries and drops bombs 2. a person who puts a bomb somewhere illegally
book,noun,1. a set of printed pages that are fastened inside a cover so that you can turn them and read them 2. a written work published in printed or electronic form
border,noun,1. the line that divides two countries or areas; the land near this line 2. a long narrow piece around the edge of something such as a picture or a piece of cloth
borrower,noun,"a person or an organization that borrows money, especially from a bank"
bother,verb,"1. to spend time and/or energy doing something 2. to annoy, worry or upset somebody; to cause somebody trouble or pain"
box,noun,"1. a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things 2. a box and its contents; the things a box contains"
bra,noun,1. a piece of women’s underwear worn to cover and support the breasts 2. a tightly fitting cover that is put over the front end of a car to protect it
branch,noun,"1. a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow 2. a local office or shop belonging to a large company or organization"
brand,noun,"1. a type of product, service, etc. made or offered by a particular company under a particular name 2. a particular type or kind of something"
brand,verb,"1. to apply a brand name, image or identity to something 2. to describe somebody/something as being something bad or unpleasant, especially unfairly"
brave,adjective,"1. willing to do things that are difficult, dangerous or painful; not afraid 2. requiring or showing courage"
break,noun,"1. a short period of time when you stop what you are doing and rest, eat, etc. 2. a period of time between lessons at school"
break,verb,"1. to be damaged and separated into two or more parts, as a result of force; to damage something in this way 2. to stop working as a result of being damaged; to damage something and stop it from working"
breath,noun,1. the air that you take into your lungs and send out again 2. an amount of air that enters the lungs at one time
breathe,verb,"1. to take air into your lungs and send it out again through your nose or mouth 2. to send air, smoke or a particular smell out of your mouth"
breathing,noun,the action of taking air into the lungs and sending it out again
bride,noun,"a woman on her wedding day, or just before or just after it"
brilliantly,adverb,1. in a way that is very impressive or shows a lot of skill  2. very well; in an extremely successful way
brochure,noun,a small magazine or book containing pictures and information about something or advertising something
brother-in-law,noun,the brother of your husband or wife; your sister’s or brother's husband; the husband of your husband's or wife’s sister or brother
bubble,noun,"1. a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass 2. a round ball of liquid, containing air, produced by soap and water"
bull,noun,"1. the male of any animal in the cow family 2. the male of the elephant, whale and some other large animals"
burger,noun,"1. beef cut into small pieces and made into a flat round shape that is then fried, often served in a bread roll 2. fish, vegetables, nuts, etc. cut into small pieces and made into flat round shapes like hamburgers"
burglar,noun,a person who enters a building illegally in order to steal
burglary,noun,the crime of entering a building illegally and stealing things from it
burgle,verb,"to enter a building illegally, usually using force, and steal from it"
burnt,adjective,damaged or injured by burning
bury,verb,1. to place a dead body in the ground 2. to lose somebody by death
butter,noun,"1. a soft yellow food made from cream, used in cooking and for spreading on bread 2. used to say that somebody seems to be innocent, kind, etc. when they are not really"
butterfly,noun,"1. a flying insect with a long thin body and four large, usually brightly coloured, wings 2. a swimming stroke in which you swim on your front and lift both arms forward at the same time while your legs move up and down together"
buyer,noun,"1. a person who buys something, especially something expensive 2. a person whose job is to choose goods that will be sold in a large shop"
by,adverb,1. past 2. used to say that something is saved so that it can be used in the future
cabbage,noun,"1. a round vegetable with large green, purplish-red or white leaves that can be eaten raw or cooked 2. an offensive word for a person who is physically alive but not capable of much mental or physical activity, for example because of an accident or illness"
cafeteria,noun,"a restaurant where you choose and pay for your meal before you carry it to a table. Cafeterias are often found in factories, colleges, hospitals, etc."
call,verb,1. to give somebody/something a particular name; to use a particular name or title when you are talking to somebody 2. to phone somebody
call,noun,1. the act of speaking to somebody on the phone 2. a shout or loud sound made to attract attention
calm,verb,"to make somebody/something become quiet and more relaxed, especially after strong emotion or excitement"
calm,adjective,"1. not excited, nervous or upset 2. without large waves"
calm,noun,1. a quiet and peaceful time or situation 2. a time when there is no wind
calorie,noun,1. a unit for measuring how much energy food will produce 2. a unit for measuring a quantity of heat; the amount of heat needed to raise the temperature of a gram of water by one degree Celsius
camel,noun,"1. an animal with a long neck and one or two humps on its back, used in desert countries for riding on or for carrying goods 2. a type of thick soft pale brown cloth made from camel's hair or a mixture of camel's hair and wool, used especially for making coats"
camera,noun,"1. a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device. 2. in a judge’s private room, without the press or the public being present"
cameraman,noun,a man whose job is operating a camera for making films or television programmes
camerawoman,noun,a woman whose job is operating a camera for making films or television programmes
campaign,verb,"to take part in or lead a campaign, for example to achieve social or political change, or in order to win an election"
campaign,noun,"1. a series of planned activities that are intended to achieve a particular social, commercial or political aim 2. a series of attacks and battles that are intended to achieve a particular military aim during a war"
campfire,noun,an outdoor fire made by people who are sleeping outside or living in a tent
campsite,noun,"1. a place where people on holiday can put up their tents, park their caravan, etc., often with toilets, water, etc. 2. a place in a campground where you can put up one tent or park one camper, etc."
campus,noun,the buildings of a university or college and the land around them
candidate,noun,1. a person who is trying to be elected or is applying for a job 2. a person taking an exam
canteen,noun,"1. a place where food and drink are served in a factory, a school, etc. 2. a small container used by soldiers, travellers, etc. for carrying water or other liquid"
cap,noun,"1. a type of soft flat hat with a peak (= a hard curved part sticking out in front). Caps are worn especially by men and boys, often as part of a uniform 2. a soft hat that fits closely and is worn for a particular purpose"
captain,noun,"1. the person in charge of a ship or commercial aircraft 2. an officer of fairly high rank in the navy, the army and the US air force"
careless,adjective,"1. not giving enough attention and thought to what you are doing, so that you make mistakes 2. resulting from a lack of attention and thought"
carsick,adjective,feeling sick because you are travelling in a car
carsickness,noun,the unpleasant feeling that you are going to vomit caused by travelling in a car 
cat,noun,1. a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice. 2. a wild animal of the cat family
category,noun,a group of people or things with particular features in common
cathedral,noun,"the main church of a district, under the care of a bishop (= a priest of high rank)"
ceiling,noun,1. the top inside surface of a room 2. the highest limit or amount of something
celebration,noun,1. a special event that people organize in order to celebrate something 2. the act of celebrating something
central,adjective,1. in the centre of an area or object 2. easily reached from many areas
centre,verb,1. to be the person or thing around which most activity takes place; to make somebody/something the central person or thing 2. to take place mainly in or around the place mentioned
ceremony,noun,1. a public or religious occasion that includes a series of formal or traditional actions 2. formal behaviour; traditional actions and words used on particular formal occasions
chain,noun,"1. a series of connected metal rings, used for pulling or fastening things; a length of chain used for a particular purpose 2. a series of connected things or people"
challenge,noun,"1. a new or difficult task that tests somebody’s ability and skill 2. an invitation or a suggestion to somebody that they should enter a competition, fight, etc."
champagne,noun,"a sparkling white wine (= one with bubbles) produced in the Champagne region of France, typically drunk on special occasions"
champion,noun,"1. a person, team, etc. that has won a competition, especially in a sport 2. a person who fights for, or speaks in support of, a group of people or a belief"
channel,noun,1. a television station 2. a band of radio waves used for making television or radio broadcasts
chapter,noun,"1. a separate section of a book, usually with a number or title 2. a period of time in a person’s life or in history"
charge,noun,1. the amount of money that somebody asks for goods and services 2. a charge account
charge,verb,1. to ask an amount of money for goods or a service 2. to record the cost of something as an amount that somebody has to pay
cheap,adverb,1. for a low price 2. to be offered for sale at a lower price than usual
cheat,noun,"1. a person who cheats, especially in a game 2. something that seems unfair or dishonest, for example a way of doing something with less effort than it usually needs"
cheat,verb,"1. to trick somebody or make them believe something that is not true 2. to act in a dishonest way in order to gain an advantage, especially in a game, a competition, an exam, etc."
check-in,noun,"1. the place where you go to at an airport to leave your bags, cases, etc. and show your ticket 2. the act of confirming your intention to take a particular flight and your personal details either at an airport or using a computer"
cheerful,adjective,"1. happy, and showing it by the way that you behave 2. giving you a feeling of happiness"
cheeseburger,noun,a hamburger with a slice of cheese on top of the meat
chemical,noun,a substance obtained by or used in a chemical process
chemical,adjective,1. connected with chemistry 2. produced by or using processes that involve changes to atoms or molecules
cheque,noun,a printed form that you can write on and sign as a way of paying for something instead of using money
chess,noun,"a game for two people played on a board marked with black and white squares on which each playing piece (representing a king, queen, castle, etc.) is moved according to special rules. The aim is to put the other player’s king in a position from which it cannot escape (= to checkmate it)."
chest,noun,"1. the top part of the front of the body, between the neck and the stomach 2. having the type of chest mentioned"
child,noun,1. a young human who is not yet an adult 2. a son or daughter of any age
childhood,noun,1. the period of somebody’s life when they are a child 2. a time in the life of an adult person when they behave like a child again
chore,noun,1. a task that you do regularly 2. an unpleasant or boring task
cinema,noun,"1. a building in which films are shown 2. when you go to the cinema or to the movies, you go to a cinema to see a film"
claim,noun,"1. a statement that something is true although it has not been proved and other people may not agree with or believe it 2. a request for a sum of money that you believe you have a right to, especially from a company, the government, etc."
claim,verb,"1. to say that something is true although it has not been proved and other people may not believe it 2. to state that you have done, gained or achieved something"
class,adverb,1. a group of students who are taught together 2. an occasion when a group of students meets to be taught
class,noun,1. a group of students who are taught together 2. an occasion when a group of students meets to be taught
class,adjective,very good
classwork,noun,work that students do at school rather than at home
clause,noun,"1. a group of words that includes a subject and a verb, and forms a sentence or part of a sentence 2. an item in a legal document that says that a particular thing must or must not be done"
cleaning,noun,"the work of making the inside of a house, etc. clean"
clear,verb,1. to remove things that are not wanted or needed from something 2. to make people leave a place
click,noun,1. the act of pressing the button on a computer mouse or touchpad 2. a short sharp sound
click,verb,"1. to choose a particular function or item on a computer screen, etc., by pressing one of the buttons on a mouse or touchpad 2. to make or cause something to make a short sharp sound"
client,noun,1. a person who uses the services or advice of a professional person or organization 2. a computer that is linked to a server
climb,noun,"1. an act of climbing up a mountain, rock or large number of steps; a period of time spent climbing 2. a mountain or rock which people climb up for sport"
climber,noun,1. a person who climbs (especially mountains) or an animal that climbs 2. a climbing plant
close,adverb,near; not far away
cloth,noun,"1. material made by weaving or knitting cotton, wool, silk, etc. 2. a piece of cloth, often used for a special purpose, especially cleaning things or covering a table"
cloudy,adjective,1. covered with clouds; with a lot of clouds 2. not clear or easy to see through
clue,noun,"1. an object, a piece of evidence or some information that helps the police solve a crime 2. a fact or a piece of evidence that helps you discover the answer to a problem"
coach,verb,"1. to train somebody to play a sport, to do a job better, or to improve a skill 2. to give a student extra teaching in a particular subject especially so that they will pass an exam"
coal,noun,"1. a hard black mineral that is found below the ground and burnt to produce heat 2. a piece of coal, especially one that is burning"
coastline,noun,"the land along a coast, especially when you are thinking of its shape or appearance"
coin,noun,1. a small flat piece of metal used as money 2. money made of metal
cold,noun,"1. a common illness that affects the nose and/or throat, making you cough, sneeze, etc. 2. a lack of heat or warm air; a low temperature, especially in the atmosphere"
collection,noun,"1. a group of objects, often of the same sort, that have been collected 2. a group of objects or people"
colored,adjective,"1. having a particular color or different colors 2. a word used to describe a person who is not white, which is now considered offensive"
colour,verb,"1. to put colour on something using paint, coloured pencils, etc. 2. to become red because the person is embarrassed "
coloured,adjective,"1. having a particular colour or different colours 2. a word used to describe a person who is not white, which is now considered offensive"
combine,verb,"1. to come together to form a single thing or group; to join two or more things or groups together to form a single one 2. to have two or more different features or characteristics; to put two or more different things, features or qualities together"
comment,verb,to express an opinion about something
commercial,noun,"an advertisement on television, on the radio or on a website"
commercial,adjective,1. connected with the buying and selling of goods and services 2. making or intended to make a profit
commit,verb,1. to do something wrong or illegal 2. to kill yourself deliberately
communication,noun,"1. the activity or process of expressing ideas and feelings or of giving people information 2. methods of sending information, especially phones, radio, computers, etc. or roads and railways"
commute,noun,the journey that a person makes when they commute to work
commute,verb,"1. to travel regularly by bus, train, car, etc. between your place of work and your home 2. to replace one punishment with another that is less severe"
comparison,noun,1. the process of comparing two or more people or things 2. an occasion when two or more people or things are compared
competing,adjective,1. unable to exist or be true at the same time 2. each trying to get the attention of possible customers and be more successful than others 
competitive,adjective,1. used to describe a situation in which people or organizations compete against each other 2. trying very hard to be better than others
competitor,noun,"1. a person who takes part in a competition 2. a person or an organization that competes against others, especially in business"
complaint,noun,1. a reason for not being satisfied; a statement that somebody makes saying that they are not satisfied 2. the act of complaining
complex,adjective,1. made of many different things or parts that are connected; difficult to understand 2. containing one main part (= the root of a word or main clause of a sentence) and one or more other parts (called affixes or subordinate clauses)
computing,noun,the fact of using computers
concentrate,verb,1. to give all your attention to something and not think about anything else 2. to bring something together in one place
conclude,verb,1. to decide or believe something as a result of what you have heard or seen 2. to come to an end; to bring something to an end
conclusion,noun,1. something that you decide when you have thought about all the information connected with the situation 2. the end of something such as a speech or a piece of writing
confident,adjective,1. feeling sure about your own ability to do things and be successful 2. feeling certain that something will happen in the way that you want or expect
confidently,adverb,1. in a way that shows that you feel sure about your own ability to do things and be successful 2. in a way that shows you feel certain that something will happen in the way that you want or expect
confirm,verb,"1. to state or show that something is definitely true or correct, especially by providing evidence 2. to make a position, an agreement, etc. more definite or official; to establish somebody/something clearly"
confuse,verb,1. to make somebody unable to think clearly or understand something 2. to think wrongly that somebody/something is somebody/something else
confused,adjective,1. unable to think clearly or to understand what is happening or what somebody is saying 2. not clear or easy to understand
conjunction,noun,"1. a word that joins words, phrases or sentences, for example ‘and’, ‘but’, ‘or’ or ‘because’ 2. a combination of events, etc., that causes a particular result"
connection,noun,"1. something that connects two facts, ideas, etc. 2. the act of connecting or the state of being connected"
consequence,noun,"1. a result of something that has happened, especially an unpleasant result 2. importance"
consist,verb,1. consist in: to have something as the main or only part or feature 2. consist of: to be formed from the people or things mentioned
consume,verb,"1. to use something, especially fuel, energy or time 2. to eat or drink something"
consumer,noun,a person who buys goods or uses services
contact,noun,"1. the act of communicating with somebody, especially regularly 2. the state of meeting somebody or having to deal with something"
contact,verb,"to communicate with somebody, for example by phone, letter or email"
container,noun,"1. a box, bottle, etc. in which something can be stored or transported 2. a large metal or wooden box of a standard size in which goods are packed so that they can easily be lifted onto a ship, train, etc. to be transported"
content,noun,"1. the things that are contained in something 2. the subject matter of a book, speech, programme, etc."
continuous,adjective,1. happening or existing for a period of time without being interrupted 2. spreading in a line or over an area without any spaces
continuously,adverb,1. in a way that happens or exists for a period of time without being interrupted 2. in a way that is repeated many times
contraction,noun,"1. the process of becoming smaller 2. a sudden and painful contracting of muscles, especially the muscles around a woman’s womb, that happens when she is giving birth to a child"
contrast,noun,1. a difference between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences between them 2. a person or thing that is clearly different from somebody/something else
contrast,verb,1. to compare two things in order to show the differences between them 2. to show a clear difference when close together or when compared
convenient,adjective,"1. useful, easy or quick to do; not causing problems 2. near to a particular place; easy to get to"
convince,verb,1. to make somebody/yourself believe that something is true 2. to persuade somebody to do something
cookbook,noun,a book that gives instructions on cooking and how to cook individual dishes
cookery,noun,the art or activity of preparing and cooking food
cool,verb,"1. to become cool or cooler; to make somebody/something become cool or cooler 2. to become calmer, less excited or less enthusiastic"
