english,tag,definition
americanism,noun,"1. a word, phrase or spelling that is typical of American English, used in another variety of English 2. the essential quality of being American"
amorphous,adjective,"having no definite shape, form or structure"
ampere,noun,a unit for measuring the rate at which electric current flows —called also amp
amphitheater,noun,"a large building with seats rising in curved rows around an open space on which games and plays take place, an area of level ground surrounded by hills"
amply,adverb,as much or more than is necessary
anagram,noun,a word or phrase that is made by arranging the letters of another word or phrase in a different order
analogous,adjective,similar in some way to another thing or situation and therefore able to be compared with it
analyze,verb,"to study (something) closely and carefully : to learn the nature and relationship of the parts of (something) by a close and careful examination, to study the emotions and thoughts of (someone) by using psychoanalysis : psychoanalyze"
anemic,adjective,"relating to or suffering from anemia, not strong, forceful, or impressive : weak"
anesthetic,adjective,containing a substance that makes a person or an animal unable to feel pain in all or part of the body
anew,adverb,"if somebody does something anew, they do it again from the beginning or do it in a different way"
anglophobia,noun,a feeling of hate or fear of England or the UK
anglo-saxon,noun,1. a person whose ancestors were English 2. an English person of the period before the Norman Conquest 3. the Old English language
angular,adjective,1. thin so that the bones can be seen clearly under the skin 2. having angles or sharp corners
animosity,noun,"a strong feeling of opposition, anger or hate"
annalist,noun,a person who writes annals
annals,noun,1. an official record of events or activities year by year; historical records 2. used in the title of academic journals
annihilate,verb,1. to destroy somebody/something/yourself completely 2. to defeat somebody/something completely
annotate,verb,"to add notes to a book or text, giving explanations or comments"
annuity,noun,"1. a fixed amount of money paid to somebody each year, usually for the rest of their life 2. a type of insurance that pays a fixed amount of money to somebody each year"
annunciation,noun,
anode,noun,the electrode in an electrical device where oxidation occurs; the positive electrode in an electrolytic cell and the negative electrode in a battery
anonymous,adjective,"1. with a name that is not known or that is not made public 2. written, given, made, etc. by somebody who does not want their name to be known or made public 3. without any unusual or interesting features"
antarctic,adjective,relating to the regions of the world around the South Pole
ante,verb,"to increase the level of something, especially your demands or the risks in a situation"
antechamber,noun,"a room where people can wait before entering a larger room, especially in an important public building"
antedate,verb,"to be built or formed, or to happen, at an earlier date than something else in the past"
antediluvian,adjective,very old-fashioned
anterior,adjective,at or near the front
anteroom,noun,"a room where people can wait before entering a larger room, especially in an important public building"
anthology,noun,"a collection of poems, stories, etc. that have been written by different people and published together in a book"
anthracite,noun,a very hard type of coal that burns slowly without producing a lot of smoke or flames
antichrist,noun,"the greatest enemy of Jesus Christ, expected to appear before the end of the world"
anticlimax,noun,"a situation that is disappointing because it happens at the end of something that was much more exciting, or because it is not as exciting as you expected"
antipodes,noun,
antiquary,noun,antiquarian
antonym,noun,a word that means the opposite of another word
aperture,noun,"1. a small opening in something 2. an opening that allows light to reach a lens, especially in cameras"
apex,noun,the top or highest part of something
aphorism,noun,a short phrase that says something true or wise
apiary,noun,a place where bees are kept
apostasy,noun,the act of rejecting your former religious or political beliefs
apostate,adjective,a person who has rejected their religious or political beliefs
apostle,noun,1. any one of the twelve men that Christ chose to tell people about him and his teachings 2. a person who strongly believes in a policy or an idea and tries to make other people believe in it
apothecary,noun,a person who made and sold medicines in the past
apotheosis,noun,1. the highest or most perfect development of something 2. the best time in somebody’s life or career 3. a formal statement that a person has become a god
appall,verb,"to cause (someone) to feel fear, shock, or disgust —often used as (be) appalled"
apparition,noun,a ghost or a ghost-like image of a person who is dead
appellate,adjective,having the power to review and change the decisions of a lower court
appellation,noun,a name or title
append,verb,to add something to the end of a piece of writing
appertain,verb,to belong to or be connected or related to something : pertain
apposite,adjective,very appropriate for a particular situation or in relation to something
appreciable,adjective,large enough to be noticed or thought important
aqueduct,noun,"a structure for carrying water, usually one built like a bridge across a valley or low ground"
aqueous,adjective,containing water; like water
arbiter,noun,a person with the power or influence to make judgements and decide what will be done or accepted
arbitrary,adjective,"1. not seeming to be based on a reason, system or plan and sometimes seeming unfair 2. using power without limits and without considering other people"
arbor,noun,a wooden shelter in a garden that is shaped like an arch and that plants grow over
arboreal,adjective,relating to trees; living in trees
arboretum,noun,"a garden where many different types of tree are grown, for people to look at or for scientific study"
arboriculture,noun,the study or practice of growing trees and shrubs
archangel,noun,an angel of the highest rank
archetype,noun,the most typical or perfect example of a particular kind of person or thing
ardent,adjective,very enthusiastic and showing strong feelings about something/somebody
ardor,noun,"a strong feeling of energy or eagerness, a strong feeling of love"
armada,noun,a large group of armed ships sailing together
armful,noun,a quantity that you can carry in one or both arms
armory,noun,"a supply of weapons —sometimes used figuratively, a place where weapons are kept; especially, US : a place where weapons are kept and where soldiers are trained, a place where weapons are made"
aroma,noun,a pleasant smell that is easy to notice
arraign,verb,to bring somebody to court in order to formally accuse them of a crime
arrant,adjective,used to emphasize how bad something/somebody is
arrogate,verb,to claim or take something that you have no right to
artesian,noun,in which water rises to the surface of the ground by natural pressure
arthurian,adjective,"connected with the stories about Arthur, a king of ancient Britain, his Knights of the Round Table and court at Camelot"
artifice,noun,the clever use of tricks to cheat somebody
ascendant,adjective,"1. the sign of the zodiac that is on the eastern horizon at the time and location of an event, particularly a birth 2. being or becoming more powerful or popular"
ascent,noun,1. the act of climbing or moving up; a journey that goes up something 2. a path or slope that goes up something 3. the process of moving forward to a better position or of making progress
ascribe,verb,
ashen,adjective,very pale; without colour because of illness or fear
askance,adverb,to look at or react to somebody/something in a critical way or in a way that shows you do not trust or believe them
asperity,noun,"the fact of being rough or severe, especially in the way you speak to or treat somebody"
assassination,noun,"the murder of an important or famous person, especially for political reasons"
assay,noun,"the testing of metals and chemicals for quality, often to see how pure they are"
assets,noun,"a valuable person or thing —often + to, something that is owned by a person, company, etc.—usually plural"
assimilate,verb,"1. to fully understand an idea or some information so that you are able to use it yourself 2. to become, or cause somebody to become, a part of a country or community rather than remaining in a separate group 3. to make an idea, a person’s attitude, etc. fit into something or be acceptable"
assuage,verb,to make an unpleasant feeling less severe
astringent,adjective,1. causing skin cells and other body tissues to become tighter 2. critical in a severe or clever way 3. slightly bitter but fresh
atomizer,noun,a container that forces a liquid such as water or paint out as a very fine spray
atone,verb,to act in a way that shows you are sorry for doing something wrong in the past
atonement,noun,the act of showing you are sorry for doing something wrong in the past
atrocious,adjective,1. very bad or unpleasant 2. very cruel and making you feel shocked
attache,noun,"a person who works at an embassy, usually with a special responsibility for a particular area of activity"
attest,verb,"1. to show or prove that something is true 2. to state that you believe that something is true or what somebody claims it is, for example in court"
attorney-general,noun,"1. the most senior legal officer in some countries or states, for example the UK or Canada, who advises the government or head of state on legal matters 2. the head of the US Department of Justice and a member of the President’s Cabinet (= a group of senior politicians who advise the President)"
audible,adjective,that can be heard clearly
auditory,adjective,connected with hearing
aura,noun,a feeling or particular quality that is very easy to notice and seems to surround a person or place
aurora,noun,southern lights
austere,adjective,1. simple and plain; without any decorations 2. strict and serious in appearance and behaviour 3. allowing nothing that gives pleasure; not comfortable
autarchy,noun,1. a system of government of a country in which one person has complete power 2. a country that is ruled by one person who has complete power 3. independent economic control
authentic,adjective,1. known to be real and what somebody claims it is and not a copy 2. true and accurate 3. made to be exactly the same as the original
autocracy,noun,1. a system of government of a country in which one person has complete power 2. a country that is ruled by one person who has complete power
automaton,noun,"1. a person who behaves like a machine, without thinking or feeling anything 2. a moving mechanical device in the shape of a person 3. a small robot that can perform a particular range of functions"
avarice,noun,extreme desire for wealth
aver,verb,to state clearly and strongly that something is true
avidity,noun,the quality of being very enthusiastic about something
avocation,noun,a hobby or other activity that you do for interest and pleasure
awaken,verb,"1. to wake up; to make somebody wake up 2. if an emotion awakens or something awakens an emotion, you start to feel that emotion"
awry,adjective,"1. if something goes awry, it does not happen in the way that was planned 2. not in the right position"
awry,adverb,"1. if something goes awry, it does not happen in the way that was planned 2. not in the right position"
aye,adverb,1. yes 2. always; still
azalea,noun,"a plant or bush with large flowers that may be pink, purple, white or yellow, often grown in a pot"
bacterium,noun,any one of a group of very small living things that often cause disease—usually plural
baffle,verb,to confuse somebody completely; to be too difficult or strange for somebody to understand or explain
baleful,adjective,1. threatening to do something evil or to hurt somebody 2. having a harmful effect
balsam,noun,"1. oil with a pleasant smell that is obtained from some types of trees and plants, used in the past to help heal wounds (= make them better), for example 2. any plant or tree from which balm is obtained"
banal,adjective,very ordinary and containing nothing that is interesting or important
barograph,noun,a barometer that records information by drawing a line on a chart
barring,preposition,except for; unless there is/are
bask,verb,"to enjoy sitting or lying in the heat or light of something, especially the sun"
bawl,verb,"1. to shout loudly, especially in an unpleasant or angry way 2. to cry loudly, especially in an unpleasant and annoying way"
beau,noun,a woman's male partner or friend
beck,verb,1. a small river 2. always ready to obey somebody’s orders
bedeck,verb,"to decorate something/somebody with flowers, flags, precious stones, etc."
bedlam,noun,a very noisy and confusing scene
befog,verb,to make somebody confused
beget,verb,1. to become the father of a child 2. to make something happen
begrudge,verb,"1. to feel unhappy that somebody has something because you do not think that they deserve it 2. to feel unhappy about having to do, pay or give something"
belay,verb,"1. to attach a rope to a rock, etc; to make a person safe while climbing by attaching a rope to the person and to a rock, etc. 2. to stop doing something; to cancel an instruction that has been given"
belie,verb,1. to give a false impression of somebody/something 2. to show that something cannot be true or correct
belittle,verb,"to make somebody, or the things that somebody does, seem unimportant"
bemoan,verb,to complain or say that you are not happy about something
benediction,noun,a prayer asking God to protect somebody
benefice,noun,the paid position of a Christian priest in charge of a parish
beneficent,adjective,giving help; being kind
beneficiary,noun,1. a person who gains as a result of something 2. a person who receives money or property when somebody dies
benevolence,noun,"the quality of being kind, helpful and generous"
bequeath,verb,"1. to say in a will that you want somebody to have your property, money, etc. after you die 2. to leave the results of your work, knowledge, etc. for other people to use or deal with, especially after you have died"
bereave,verb,"if somebody is bereaved, a relative or close friend has just died"
beseech,verb,to ask somebody for something in an anxious way because you want or need it very much
beset,verb,to affect somebody/something in an unpleasant or harmful way
bestial,adjective,cruel and horrible; of or like a beast
bestrew,verb,to cover (a surface) with something—usually used as (be) bestrewn
bestride,verb,to sit with one leg on either side of something
betide,verb,a phrase that is used to warn somebody that there will be trouble for them if they do something or do not do something
betrothal,noun,an agreement to marry somebody
bevel,noun,"1. a sloping edge or surface, for example at the side of a picture frame or sheet of glass 2. a tool for making sloping edges on wood or stone"
bewilder,verb,to confuse somebody
bibliophile,noun,a person who loves or collects books
bibulous,adjective,liking to drink too much alcohol
bide,verb,1. to stay or live in a place 2. to wait for the right time to do something
bight,noun,a long curved part of a coast or river
bilingual,adjective,1. able to speak two languages equally well 2. using two languages; written in two languages
biped,noun,any creature with two feet
bitterness,noun,"1. angry and unhappy feelings caused by the belief that you have been treated unfairly 2. the fact of being very serious and unpleasant, with a lot of anger and hate involved 3. the fact of having a strong, unpleasant taste that is not sweet"
blase,adjective,"not impressed, excited or worried about something, because you have seen or experienced it many times before"
blaspheme,verb,to speak about God or the holy things of a particular religion in an offensive way; to swear using the names of God or holy things
blatant,adjective,done in an obvious and open way without caring if people are shocked
bodily,adjective,connected with the human body
bole,noun,the main stem of a tree
boll,noun,the part of the cotton plant that contains the seeds
bolster,verb,to improve something or make it stronger
bombast,noun,"words which sound important but have little meaning, used to impress people"
boorish,adjective,very unpleasant and rude
botanical,adjective,connected with the science of botany
bountiful,adjective,1. in large quantities; large 2. giving generously
bowdlerize,verb,"to remove the parts of a book, play, etc. that you think are likely to shock or offend people"
boycott,verb,"to refuse to buy, use or take part in something as a way of protesting"
brae,noun,a steep slope or hill
brandish,verb,"to hold or wave something, especially a weapon, in an aggressive or excited way"
bravado,noun,"a confident way of behaving that is intended to impress people, sometimes as a way of hiding a lack of confidence"
bray,noun,1. a loud unpleasant sound made by a donkey 2. a loud unpleasant way of talking or laughing
braze,verb,to join pieces of metal using a mixture of metals that has been heated and melted
brazier,noun,a large metal container that holds a fire and is used to keep people warm when they are outside
breaker,noun,a large wave covered with white bubbles that is moving towards land
breech,noun,the part of a gun at the back where the bullets are loaded
brethren,noun,1. used to talk to people in church or to talk about the members of a male religious group 2. people who are part of the same society as yourself
brevity,noun,1. the quality of using few words when speaking or writing 2. the fact of lasting a short time
bric-a-brac,noun,ornaments and other small attractive objects of little value
bridle,noun,"a set of leather bands, attached to reins, which is put around a horse’s head and used for controlling it"
brigand,noun,"a member of a group of criminals that steals from people, especially one that attacks travellers"
brimstone,noun,the chemical element sulphur
brine,noun,"water that contains a lot of salt, used especially for preserving food"
britannia,noun,"1. a figure of a woman used as a symbol of Britain. She is usually shown sitting down wearing a helmet and holding a shield and a trident (= a long weapon with three points). 2. the last British royal yacht. Its permanent home is now in the port of Leith, in Edinburgh, where it has been turned into a tourist attraction."
briticism,noun,a word or expression used in Britain but not in other English-speaking countries
brittle,adjective,1. hard but easily broken 2. a brittle mood or state of mind is one that appears to be happy or strong but is actually nervous and easily damaged 3. hard and sharp in an unpleasant way
broach,noun,"to begin talking about a subject that is difficult to discuss, especially because it is embarrassing or because people disagree about it"
broach,adjective,"to begin talking about a subject that is difficult to discuss, especially because it is embarrassing or because people disagree about it"
broach,verb,"to begin talking about a subject that is difficult to discuss, especially because it is embarrassing or because people disagree about it"
bronchus,noun,any one of the system of tubes which make up the main branches of the windpipe through which air passes in and out of the lungs
browbeat,verb,to frighten or threaten somebody in order to make them do something
brusque,adjective,using very few words and sounding rude
buffoon,noun,a person who does silly things that make people laugh
buffoonery,noun,behaviour that is silly but makes people laugh
buffoonery,adjective,behaviour that is silly but makes people laugh
bulrush,noun,"a tall plant with long narrow leaves and a long brown head of flowers, that grows in or near water"
bulwark,noun,1. a person or thing that protects or defends something 2. a wall built as a defence 3. the part of a ship’s side that is above the level of the deck
burgher,noun,a citizen of a particular town
burnish,verb,to polish metal until it is smooth and shiny
bustle,verb,to move around in a busy way or to hurry somebody in a particular direction
butt,verb,"1. to hit or push somebody/something hard with your head 2. if an animal butts somebody/something, it hits them or it hard with its horns and head"
butte,noun,a hill that is flat on top and is separate from other high ground
cabal,noun,a small group of people who are involved in secret plans to get political power
cadence,noun,1. the rise and fall of the voice in speaking 2. the end of a musical phrase
cajole,verb,to make somebody do something by talking to them and being very nice to them
calculable,adjective,that can be calculated
callow,adjective,young and without experience
calumny,noun,1. a false statement about a person that is made to damage their reputation 2. the act of making such a statement
calvinism,noun,"the set of beliefs based on the teachings of the French Protestant, John Calvin"
came,noun,"a quiet and peaceful state or condition, a peaceful mental or emotional state—usually singular"
canaanite,noun,region of ancient southwestern Asia
candid,adjective,1. saying what you think openly and honestly; not hiding your thoughts 2. a candid photograph is one that is taken without the person in it knowing that they are being photographed
candor,noun,"the quality of being open, sincere, and honest"
cant,verb,to be in a sloping position; to put something into a sloping position
cantata,noun,"a short musical work, often on a religious subject, sung by solo singers, often with a choir and orchestra"
cantonment,noun,"a military camp, especially a permanent British military camp in India in the past"
capacious,adjective,having a lot of space to put things in
caprice,noun,1. a sudden change in attitude or behaviour for no obvious reason 2. the fact of tending to change your mind suddenly or behave unexpectedly
captivate,verb,"to keep somebody’s attention by being interesting, attractive, etc."
caret,noun,a mark (⁁) placed below a line of printed or written text to show that words or letters should be added at that place in the text
carnal,adjective,connected with the body or with sex
carnivorous,adjective,eating meat; consisting of meat
carouse,verb,"to spend time drinking alcohol, laughing and enjoying yourself in a noisy way with other people"
carrion,noun,the decaying (= becoming destroyed by natural processes) bodies of dead animals
cartridge,noun,"1. a tube or case containing explosive and a bullet or shot, for shooting from a gun 2. a case containing something that is used in a machine, for example ink for a printer, film for a camera, etc. Cartridges are put into the machine and can be removed and replaced when they are finished or empty. 3. a thin tube containing ink (= coloured liquid for writing) which you put inside a pen"
cartridge,verb,"1. a tube or case containing explosive and a bullet or shot, for shooting from a gun 2. a case containing something that is used in a machine, for example ink for a printer, film for a camera, etc. Cartridges are put into the machine and can be removed and replaced when they are finished or empty. 3. a thin tube containing ink (= coloured liquid for writing) which you put inside a pen"
catastrophe,noun,"1. a sudden event that causes many people to suffer 2. an event that causes one person or a group of people to suffer, or that makes difficulties"
cathode,noun,the electrode in an electrical device where reduction occurs; the negative electrode in an electrolytic cell and the positive electrode in a battery
catholicism,noun,the beliefs and principles of the part of the Christian Church that has the pope as its leader
cat-o-nine-tails,noun,"a whip made of nine strings with knots in them, that was used to punish prisoners in the past"
caucus,noun,"1. a meeting of the members or leaders of a political party to choose candidates or to decide policy; the members or leaders of a political party as a group 2. a group of people with similar interests, often within a larger organization or political party"
cauterize,verb,"to burn a wound, using a chemical or heat, in order to stop the loss of blood or to prevent infection"
censorious,adjective,tending to criticize people or things a lot
census,noun,"the process of officially counting something, especially a country’s population, and recording various facts"
centiliter,noun,a unit for measuring the volume of a liquid or gas that is equal to 1/10₀ liter or 10 cubic centimeters
centimeter,noun,a length equal to 1/10₀ meter
centurion,noun,(in ancient Rome) an army officer who commanded 100 soldiers
cessation,noun,the stopping of something; a break in something
cession,noun,"the act of giving up land or rights, especially to another country after a war"
chancery,noun,1. a division of the High Court in the UK 2. an office where public records are kept
characterize,verb,"1. to be typical of a person, place or thing 2. to describe or show the qualities of somebody/something in a particular way"
charlatan,noun,a person who claims to have knowledge or skills that they do not really have
chasm,noun,"1. a deep opening or break in the ground 2. a very big difference between two people or groups, for example because they have different attitudes"
chasten,verb,to make somebody feel sorry for something they have done
chastise,verb,1. to criticize somebody for doing something wrong 2. to punish somebody physically
chastity,noun,the state of not having sex with anyone or only having sex with the person you are married to; being chaste
chateau,noun,a castle or large country house in France
chattel,noun,something that belongs to you
christ,noun,the man that Christians believe is the son of God and on whose teachings the Christian religion is based
christendom,noun,all the Christian people and countries of the world
chromatic,adjective,"of the chromatic scale, a series of musical notes that rise and fall in semitones"
chronometer,noun,"a very accurate clock, especially one used at sea"
chronometer,verb,"a very accurate clock, especially one used at sea"
circumscribe,verb,"1. to limit somebody/something’s freedom, rights, power, etc. 2. to draw a circle around another shape"
circumspect,adjective,"thinking very carefully about something before doing it, because there may be risks involved"
citadel,noun,(in the past) a castle on high ground in or near a city where people could go when the city was being attacked
claimant,noun,"1. a person who claims something because they believe they have a right to it 2. a person who is receiving money from the state because they are unemployed, etc."
clairvoyance,noun,the power that some people claim to have to be able to see future events or to communicate with people who are dead or far away
clairvoyance,adjective,the power that some people claim to have to be able to see future events or to communicate with people who are dead or far away
clarion,noun,a strong request for something to happen—usually singular
clemency,noun,kind treatment of somebody when they are being punished; a lack of desire to punish somebody so severely
clement,adjective,1. mild and pleasant 2. being kind and showing mercy to somebody who is being punished
clothier,noun,a person or company that makes or sells clothes or cloth
coagulate,verb,"if a liquid coagulates or something coagulates it, it becomes thick and partly solid"
coalescence,noun,"the act or process of coming together to form one larger group, substance, etc."
codicil,noun,"an instruction that is added later to a will, usually to change a part of it"
coerce,verb,to force somebody to do something by using threats
coercion,noun,"the action of making somebody do something that they do not want to do, using force or threatening to use force"
coercive,adjective,using force or the threat of force
cogent,adjective,strongly and clearly expressed in a way that influences what people believe
cognate,adjective,1. having the same origin as another word or language 2. related in some way and therefore similar
cognizant,noun,having knowledge or understanding of something
cognizant,adjective,having knowledge or understanding of something
cognizant,verb,having knowledge or understanding of something
cohesive,adjective,1. forming a united whole 2. causing people or things to become united
coincide,verb,1. to take place at the same time 2. to be the same or very similar 3. to meet; to share the same space
coincident,adjective,happening in the same place or at the same time
collapsible,adjective,that can be folded flat or made into a smaller shape that uses less space
colloquial,adjective,used in conversation but not in formal speech or writing
colloquy,noun,a conversation
colossus,noun,1. a person or thing that is extremely important or large in size 2. an extremely large statue
comestible,adjective,that can be eaten
comical,adjective,"funny, especially because it is strange or silly"
commingle,verb,"to mix two or more things together or to be mixed, especially when it is impossible for the things to be separated afterwards"
commissariat,noun,1. a department of the army that is responsible for food supplies 2. a government department in the Soviet Union before 1946
commotion,noun,sudden noisy and confused activity or excitement
comparable,adjective,similar to somebody/something else and able to be compared
compensate,verb,"1. to provide something good to balance or reduce the bad effects of damage, loss, etc. 2. to act in order to balance or correct something wrong or not normal 3. to pay somebody money because they have suffered some damage, loss, injury, etc."
competence,noun,"1. the ability to do something well 2. the power that a court, an organization or a person has to deal with something 3. a skill that you need in a particular job or for a particular task"
complacent,adjective,"too satisfied with yourself or with a situation, so that you do not feel that any change is necessary; showing or feeling complacency"
complicate,verb,"to make something more difficult to do, understand or deal with"
compliment,verb,"to tell somebody that you like or admire something they have done, their appearance, etc."
comprehensible,adjective,that can be understood by somebody
compression,noun,"1. the act of pressing things together or pressing something into a smaller space 2. the act of reducing something and fitting it into a smaller space or amount of time 3. the act of making computer files, etc. smaller so that they use less space on a disk, etc."
compunction,noun,a guilty feeling about doing something
compute,verb,1. to calculate something 2. to make sense
conciliatory,adjective,having the intention or effect of making angry people calm
conclusive,adjective,proving something in a way that is certain and allows no doubt
concurrent,adjective,existing or happening at the same time
condensation,noun,"1. drops of water that form on a cold surface when warm water vapour becomes cool 2. the process of a gas changing to a liquid 3. the process of making a book, etc. shorter by taking out anything that is not necessary"
condescend,verb,1. to do something that you think it is below your social or professional position to do 2. to behave towards somebody as though you are more important and more intelligent than they are
